phone_title,const,rating,disp_diag,camera,storage,ram,battery_capacity,year_of_release,log_price,density,Other_oper_syst,battery_type_LiPo,brand_Apple,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo
Oppo K5 6GB/128GB,1.0,2.9,6.4,32.0,128.0,6.0,4.0,2019,11.050874132231819,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo A9 (2020) 8GB/128GB,1.0,3.3,6.5,16.0,128.0,8.0,5.0,2020,10.165851817003619,2.7266272189349112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo A5 (2020) 4GB/128GB,1.0,3.4,6.5,8.0,128.0,4.0,5.0,2020,10.043206015705211,2.7266272189349112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo A5 (2020) 3GB/64GB,1.0,3.0,6.5,8.0,64.0,3.0,5.0,2020,9.878169744551839,2.7266272189349112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo Reno 2 8GB/256GB,1.0,3.3,6.5,16.0,256.0,8.0,4.0,2019,10.341742483467284,6.13491124260355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo Reno Z 6GB/128GB,1.0,3.5,6.4,32.0,128.0,6.0,4.035,2019,10.239959789157341,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo A1K 2GB/32GB,1.0,3.7,6.1,5.0,32.0,2.0,4.0,2019,9.350015354048665,3.018543402311207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo F11 64GB,1.0,4.3,6.53,16.0,64.0,4.0,4.02,2019,10.239924074233857,5.926704173692394,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo A7 64GB,1.0,4.8,6.2,16.0,64.0,4.0,4.23,2018,9.740968623038354,2.8470343392299684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cubot S550 Pro,1.0,4.0,5.5,8.0,16.0,3.0,3.0,2016,9.775199532234597,3.0466115702479337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubot Dinosaur,1.0,3.0,5.5,5.0,16.0,3.0,4.15,2017,9.910463166272553,3.0466115702479337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubot Note S,1.0,2.0,5.5,5.0,16.0,2.0,4.15,2016,9.506734385029985,3.0466115702479337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubot Rainbow,1.0,3.0,5.0,5.0,16.0,1.0,2.2,2016,9.66770192587285,3.6864,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Redmi Note 5A 16GB,1.0,3.4,5.5,16.0,16.0,2.0,3.08,2017,9.648595302907339,3.0466115702479337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi A1,1.0,4.6,5.5,5.0,64.0,4.0,3.08,2017,9.322775801305971,6.8548760330578515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi Max 128 GB,1.0,3.0,6.44,5.0,128.0,4.0,4.85,2016,9.322775801305971,4.999807106207322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi Max 64 GB,1.0,2.5,6.44,5.0,64.0,3.0,4.85,2016,10.239959789157341,4.999807106207322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi Max 32 GB,1.0,3.0,6.44,5.0,32.0,3.0,4.85,2016,9.126850061477157,4.999807106207322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Redmi 4a 32 GB,1.0,2.0,5.0,5.0,32.0,2.0,3.12,2016,9.392578591964389,3.6864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Redmi 4a 16 GB,1.0,2.0,5.0,5.0,16.0,2.0,3.12,2016,9.392661928770137,3.6864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi 5 32 GB,1.0,3.7,5.15,4.0,32.0,3.0,3.0,2016,9.156939595249067,7.8182675087190106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi Mix 2 8 GB RAM,1.0,3.5,5.99,5.0,128.0,8.0,3.4,2017,9.704975636343447,6.5016541202505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi Mix 2 256 GB,1.0,4.5,5.99,5.0,256.0,6.0,3.4,2017,9.305559638557117,6.5016541202505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi Mix 2 128 GB,1.0,3.3,5.99,5.0,128.0,6.0,3.4,2017,9.615138591096644,6.5016541202505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi Note 3 128 GB,1.0,3.0,5.5,16.0,128.0,6.0,3.5,2017,9.305559638557117,6.8548760330578515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaomi Mi Note 3 64 GB,1.0,4.0,5.5,16.0,64.0,6.0,3.5,2017,9.752664662801545,6.8548760330578515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nokia 4.2 32GB,1.0,3.7,5.71,8.0,32.0,3.0,3.0,2019,9.635608107380527,3.3566330614861317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nokia 4.2 16GB,1.0,3.7,5.71,8.0,16.0,2.0,3.0,2019,9.305559638557117,3.3566330614861317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nokia 3.2 16GB,1.0,3.0,6.2,5.0,16.0,2.0,4.0,2019,9.433483923290392,2.8470343392299684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nokia 1 Plus 16GB,1.0,5.0,5.45,5.0,16.0,1.0,2.5,2021,9.305559638557117,1.5513845635889234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nokia 1 Plus 8GB,1.0,5.0,5.45,5.0,8.0,1.0,2.5,2021,9.74090979777877,1.5513845635889234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nokia 9 PureView,1.0,3.0,5.99,20.0,128.0,6.0,3.32,2019,10.950806546816688,11.558496213778668,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
